TipoUva,Zona,Zuccheri,Acidità,Ph,data
CabernetSauvignon,Montevarchi,15.8,8.7,3.26,29/8/2003
CabernetSauvignon,Ambra,17.9,7,3.3,29/8/2003
CabernetSauvignon,Cortona,17.5,4.6,3.76,29/8/2003
Merlot,BassoCasentino,18.7,6.7,3.45,29/8/2003
Merlot,TerrazzamentiSetteponti,17.6,5.5,3.43,29/8/2003
Merlot,PianaltiSetteponti,17.6,7.1,3.61,29/8/2003
Merlot,Montevarchi,17.4,5.9,3.36,29/8/2003
Merlot,Ambra,17.3,7,3.45,29/8/2003
Merlot,PergineCivitella,18.6,6.5,3.48,29/8/2003
Sangiovese,BassoCasentino,17,8.4,3.22,29/8/2003
Sangiovese,TerrazzamentiSetteponti,15.8,7.4,3.33,29/8/2003
Sangiovese,PianaltiSetteponti,14,9.2,3.43,29/8/2003
Sangiovese,Montevarchi,18,6.7,3.18,29/8/2003
Sangiovese,Ambra,18.7,8.2,3.25,29/8/2003
Sangiovese,PergineCivitella,16.1,9.8,3.19,29/8/2003
Sangiovese,ValdiChiana,17.9,5.8,3.37,29/8/2003
Sangiovese,Cortona,17.1,6.4,3.43,29/8/2003
Syrah,Cortona,18.8,5.4,3.69,29/8/2003
Trebbiano,ValdiChiana,12.7,6.5,3.35,29/8/2003
CabernetSauvignon,Montevarchi,16.2,5.3,3.43,5/9/2003
CabernetSauvignon,Ambra,17.6,5.9,3.33,5/9/2003
CabernetSauvignon,Cortona,17.4,4.2,3.91,5/9/2003
Merlot,BassoCasentino,19.3,4.4,3.59,5/9/2003
Merlot,TerrazzamentiSetteponti,17.4,5.4,3.49,5/9/2003
Merlot,PianaltiSetteponti,17.4,6.5,3.76,5/9/2003
Merlot,Montevarchi,18.2,4.9,3.56,5/9/2003
Merlot,Ambra,18.7,4.9,3.56,5/9/2003
Merlot,PergineCivitella,18.9,3.4,3.72,5/9/2003
Sangiovese,BassoCasentino,18.4,5.5,3.47,5/9/2003
Sangiovese,TerrazzamentiSetteponti,16.4,7.2,3.29,5/9/2003
Sangiovese,PianaltiSetteponti,14.8,5.3,3.52,5/9/2003
Sangiovese,Montevarchi,18.9,5.7,3.29,5/9/2003
Sangiovese,Ambra,19.1,5.5,3.41,5/9/2003
Sangiovese,PergineCivitella,16.7,7.2,3.19,5/9/2003
Sangiovese,ValdiChiana,18.1,5.5,3.35,5/9/2003
Sangiovese,Cortona,17.6,6.5,3.63,5/9/2003
Syrah,Cortona,19.5,3.7,3.85,5/9/2003
Trebbiano,ValdiChiana,12.9,5.9,3.33,5/9/2003
CabernetSauvignon,Montevarchi,17.6,4.3,3.5,11/9/2003
CabernetSauvignon,Ambra,18.9,5.4,3.3,11/9/2003
CabernetSauvignon,Cortona,?,?,?,11/9/2003
Merlot,BassoCasentino,19.8,4,3.54,11/9/2003
Merlot,TerrazzamentiSetteponti,18.5,3.9,3.86,11/9/2003
Merlot,PianaltiSetteponti,18.5,3.9,3.86,11/9/2003
Merlot,Montevarchi,18.9,4.8,3.32,11/9/2003
Merlot,Ambra,21,3.8,3.71,11/9/2003
Merlot,PergineCivitella,20,2.7,3.79,11/9/2003
Sangiovese,BassoCasentino,19.1,6.5,3.32,11/9/2003
Sangiovese,TerrazzamentiSetteponti,19,6.5,3.25,11/9/2003
Sangiovese,PianaltiSetteponti,17,4.4,3.61,11/9/2003
Sangiovese,Montevarchi,17.5,4.9,3.26,11/9/2003
Sangiovese,Ambra,18.5,6,3.25,11/9/2003
Sangiovese,PergineCivitella,16,6.5,3.15,11/9/2003
Sangiovese,ValdiChiana,17.6,4.9,3.4,11/9/2003
Sangiovese,Cortona,?,?,?,11/9/2003
Syrah,Cortona,?,?,?,11/9/2003
Trebbiano,ValdiChiana,14,4.9,3.4,11/9/2003
CabernetSauvignon,Montevarchi,?,?,?,18/9/2003
CabernetSauvignon,Ambra,?,?,?,18/9/2003
CabernetSauvignon,Cortona,?,?,?,18/9/2003
Merlot,BassoCasentino,?,?,?,18/9/2003
Merlot,TerrazzamentiSetteponti,?,?,?,18/9/2003
Merlot,PianaltiSetteponti,?,?,?,18/9/2003
Merlot,Montevarchi,?,?,?,18/9/2003
Merlot,Ambra,?,?,?,18/9/2003
Merlot,PergineCivitella,?,?,?,18/9/2003
Sangiovese,BassoCasentino,20.7,6.2,3.51,18/9/2003
Sangiovese,TerrazzamentiSetteponti,20,4.2,3.54,18/9/2003
Sangiovese,PianaltiSetteponti,?,?,?,18/9/2003
Sangiovese,Montevarchi,19.8,5,3.43,18/9/2003
Sangiovese,Ambra,?,?,?,18/9/2003
Sangiovese,PergineCivitella,19.3,6.2,3.36,18/9/2003
Sangiovese,ValdiChiana,20.5,4.6,3.68,18/9/2003
Sangiovese,Cortona,?,?,?,?,18/9/2003
Syrah,Cortona,?,?,?,18/9/2003,
Trebbiano,ValdiChiana,14.8,4,3.47,18/9/2003
CabernetSauvignon,Ambra,?,?,?,24/8/2004
CabernetSauvignon,Cortona,?,?,?,24/8/2004
CabernetSauvignon,Montevarchi,?,?,?,24/8/2004
Merlot,Ambra,?,?,?,24/8/2004
Merlot,BassoCasentino,?,?,?,24/8/2004
Merlot,Montevarchi,?,?,?,24/8/2004
Merlot,PergineCivitella,?,?,?,24/8/2004
Merlot,PianaltiSetteponti,?,?,?,24/8/2004
Merlot,TerrazzamentiSetteponti,?,?,?,24/8/2004
Sangiovese,Ambra,13.1,12.5,2.98,24/8/2004
Sangiovese,BassoCasentino,11.3,15.4,2.94,24/8/2004
Sangiovese,Cortona,12.6,16,2.98,24/8/2004
Sangiovese,Montevarchi,9.9,20.4,2.86,24/8/2004
Sangiovese,PergineCivitella,9,20.4,2.76,24/8/2004
Sangiovese,PianaltiSetteponti,11.8,16.6,3,24/8/2004
Sangiovese,TerrazzamentiSetteponti,12.6,14.8,3.04,24/8/2004
Sangiovese,ValdiChiana,12.9,14.3,3.08,24/8/2004
Syrah,Cortona,?,?,?,24/8/2004
Trebbiano,ValdiChiana,?,?,?,24/8/2004
CabernetSauvignon,Ambra,14.7,9.1,3.21,30/8/2004
CabernetSauvignon,Cortona,13.2,10.7,3.19,30/8/2004
CabernetSauvignon,Montevarchi,12.8,13.9,3.07,30/8/2004
Merlot,Ambra,16.3,5.9,3.4,30/8/2004
Merlot,BassoCasentino,14.5,11.1,3.05,30/8/2004
Merlot,Montevarchi,15.5,9.9,3.25,30/8/2004
Merlot,PergineCivitella,15.5,9.9,3.25,30/8/2004
Merlot,PianaltiSetteponti,13.8,9.5,3.29,30/8/2004
Merlot,TerrazzamentiSetteponti,14.7,9.2,3.21,30/8/2004
Sangiovese,Ambra,15.1,6,3.35,30/8/2004
Sangiovese,BassoCasentino,13.3,12.9,3.06,30/8/2004
Sangiovese,Cortona,13.2,13.3,3.05,30/8/2004
Sangiovese,Montevarchi,11.8,18.1,2.95,30/8/2004
Sangiovese,PergineCivitella,12.3,15.1,2.96,30/8/2004
Sangiovese,PianaltiSetteponti,13.3,11.7,3.13,30/8/2004
Sangiovese,TerrazzamentiSetteponti,13.2,11.2,3.06,30/8/2004
Sangiovese,ValdiChiana,13.6,11.9,3.12,30/8/2004
Syrah,Cortona,15.7,10,3.21,30/8/2004
Trebbiano,ValdiChiana,12.2,11.8,3.10,30/8/2004
CabernetSauvignon,Ambra,17.8,7.7,3.36,6/9/2004
CabernetSauvignon,Cortona,15,8.3,3.24,6/9/2004
CabernetSauvignon,Montevarchi,12.7,14.9,2.99,6/9/2004
Merlot,Ambra,20.2,4.4,3.62,6/9/2004
Merlot,BassoCasentino,16,9.7,3.12,6/9/2004
Merlot,Montevarchi,16,9.7,3.12,6/9/2004
Merlot,PergineCivitella,16.4,9.4,3.19,6/9/2004
Merlot,PianaltiSetteponti,16.8,6.9,3.35,6/9/2004
Merlot,TerrazzamentiSetteponti,15.1,8.9,3.13,6/9/2004
Sangiovese,Ambra,16.9,7.8,3.17,6/9/2004
Sangiovese,BassoCasentino,14.8,11.6,3.05,6/9/2004
Sangiovese,Cortona,14.6,10.8,3.13,6/9/2004
Sangiovese,Montevarchi,14.2,16.8,2.89,6/9/2004
Sangiovese,PergineCivitella,13.8,12.3,2.94,6/9/2004
Sangiovese,PianaltiSetteponti,14.1,11.1,3.07,6/9/2004
Sangiovese,TerrazzamentiSetteponti,15.7,9.3,3.18,6/9/2004
Sangiovese,ValdiChiana,14.6,10.7,3.11,6/9/2004
Syrah,Cortona,17.9,8.6,3.19,6/9/2004
Trebbiano,ValdiChiana,14.2,7.9,3.18,6/9/2004
CabernetSauvignon,Ambra,19.6,6.1,3.51,14/9/2004
CabernetSauvignon,Cortona,17.5,7.4,3.33,14/9/2004
