"","X...Data","T.min....c.","T.media....c.","T.max....c.","Pioggia..mm.","Punto.rugiada....c.","Umidit......","Vento.media..km.h.","Ventomax..km.h.","Raffica..km.h.","Pressione.slm..mb.","Pressione.media..mb."
"1","01/01/2003",6.2,9.2,13.8,1,2.9,65,5,8,0,1010,980
"2","02/01/2003",1.4,6.8,12.2,0,5,88,4,15,0,1013,983
"3","04/01/2003",8,10.9,13.8,0,4.7,66,9,11,0,1006,977
"4","05/01/2003",3,5.3,8.4,0.5,0.7,72,7,18,0,1001,971
"5","06/01/2003",-1.8,2.4,7.6,3.1,0.8,89,2,5,0,1007,976
"6","07/01/2003",0.6,1.8,3.6,18,-0.2,87,5,11,0,1000,970
"7","09/01/2003",1,1.7,2.8,11.2,0.7,93,7,17,0,1004,974
"8","10/01/2003",-0.8,2,4.8,2,0.9,92,0,0,0,1010,979
"9","11/01/2003",-0.2,2.6,5.2,0,-2.5,69,15,26,0,1015,985
"10","12/01/2003",-1.8,-0.2,1.8,0,-8.5,53,19,24,0,1022,991
"11","14/01/2003",-6.8,-1.2,7.2,0,-7.5,62,0,0,0,1033,1001
"12","19/01/2003",-3.2,1.9,10.6,0,-2.7,71,0,0,0,1018,987
"13","22/01/2003",7,8.1,12,19.8,6.2,88,5,11,0,1003,973
"14","23/01/2003",2.6,4.8,7.6,1.3,3,88,2,8,0,1011,981
"15","24/01/2003",5.2,7.4,9.6,0,-1.6,53,18,22,0,1018,988
"16","25/01/2003",5.8,6.9,9,0,-2.2,52,29,31,0,1023,992
"17","26/01/2003",2.2,5.7,9.4,0,-2.6,55,13,21,0,1022,991
"18","27/01/2003",3.8,6.6,11,0,-4.6,45,12,22,0,1022,992
"19","30/01/2003",-4.4,-0.2,5.4,0,0,0,0,0,0,1002,971
"20","01/02/2003",1.6,3.5,5.6,0,-6.5,48,20,28,0,1010,980
"21","08/02/2003",-7,-0.7,6.2,0,-5.4,70,0,0,0,1024,992
"22","09/02/2003",0.4,3.3,8.2,1,-2.7,65,6,15,0,1020,990
"23","10/02/2003",-3.4,1.5,7.4,0,-5.8,58,7,13,0,1021,990
"24","11/02/2003",-4.8,0.6,6.8,0,-5.4,64,6,13,0,1022,991
"25","12/02/2003",-1.6,1.5,4.6,0,-6.8,54,7,11,0,1023,992
"26","14/02/2003",-2.4,0.6,6.6,0,-5.6,63,3,11,0,1022,991
"27","18/02/2003",-0.2,1.7,4.8,0,-7.3,51,19,28,0,1021,990
"28","24/02/2003",-7.4,0.5,10.8,0,-7.3,56,0,0,0,1033,1001
"29","25/02/2003",-7,2.1,13.6,0,-8.2,46,5,11,0,1028,997
"30","26/02/2003",-6.2,2.2,12.2,0,-6.4,53,0,0,0,1026,995
"31","27/02/2003",-4.8,3.2,13.4,0,-4.1,59,0,0,0,1024,994
"32","28/02/2003",1.8,7.3,14.2,10,-2.1,51,0,0,0,1027,996
"33","01/03/2003",5.8,8.2,13,2.8,5.7,84,0,2,0,1027,997
"34","02/03/2003",6.8,8.1,8.8,12.2,6.6,90,0,0,0,1020,990
"35","04/03/2003",5.6,9.2,13.6,0,-0.7,50,6,13,0,1019,989
"36","05/03/2003",-0.6,6.4,15.8,0,-1.7,56,0,0,0,1023,993
"37","06/03/2003",-0.2,6.7,15.8,0,0.5,65,3,9,0,1019,989
"38","07/03/2003",5,8.1,13.4,0.5,3.4,72,4,15,0,1018,988
"39","08/03/2003",-0.2,7.4,16.2,0,0.6,62,2,8,0,1022,992
"40","09/03/2003",-1,8.2,17.4,0,-0.8,53,0,0,0,1024,994
"41","10/03/2003",0.6,8.9,18.6,0,0.8,57,0,0,0,1026,996
"42","12/03/2003",2.4,9.4,17.4,0,2.8,63,3,11,0,1025,994
